,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
1737,2024-04-11 20:00:00,70564.5,3521.46,174.4734,607.23,0.61181,98.29,0.58348,17.449,0.19441,3.5829,0.8785,9.0569,118.07,2.974,0.6033,1.060468772091074,-0.08209691604139834,1.0501493057654365,-0.8390445242715954,-0.3386694105830173,1.4749327172851148,-0.17730466226034164,0.6588540937996481,0.2873180807991907,0.19490499848589415,-0.5874620817988617,-1.3331536879216301,-1.7468371327733765,-1.3839870833578938,-1.4446249040515289
1738,2024-04-11 20:15:00,70686.5,3524.69,174.8967,610.4,0.61351,99.1,0.58761,17.589,0.195213,3.5843,0.8826,9.0149,118.246,2.984,0.6053,1.2008424014215995,0.01488148859154606,1.2377023588623062,-0.6818543995264317,-0.03613324431836554,2.3213594507546715,0.394413290869894,1.6871132404641906,0.45799615379986314,0.2106071354971155,-0.19702042230414596,-1.3648509003012395,-1.681282997082939,-1.107786546727569,-1.1661721916485945
1739,2024-04-11 20:30:00,70549.5,3519.69,174.8959,611.83,0.61323,99.74,0.58827,17.583,0.196597,3.5756,0.8836,9.0634,117.863,2.985,0.605,1.019217735251451,-0.1410947722664417,1.2340290628386457,-0.606041987601654,-0.07777545680354396,2.938402199733005,0.4989567497390838,1.6353127412341875,0.7547905773045748,0.11866089439986943,-0.0940092335890394,-1.2973825859113564,-1.7575418471172097,-1.073756028370869,-1.1963947235121173
1740,2024-04-11 20:45:00,70520.0,3525.12,174.388,613.31,0.61354,99.32,0.5883,17.522,0.196976,3.5595,0.8827,9.0717,118.19,2.988,0.6059,0.9725323591419376,0.022730495999872462,1.0098525005291346,-0.5263608130462942,-0.015085551566861165,2.466366250861352,0.5178259435281752,1.1907008478252294,0.8298558764619743,-0.04918997004542038,-0.17025080451780097,-1.274831989199862,-1.653771474301566,-0.9853726629047251,-1.0655359367060715
1741,2024-04-11 21:00:00,70499.5,3523.55,173.9211,614.26,0.61321,99.39,0.58966,17.592,0.197357,3.538,0.884,9.1145,118.472,2.99,0.607,0.9375220984227683,-0.029695775812657855,0.8023975158598244,-0.4715471963897959,-0.06601820263094466,2.500222877639975,0.7222402521565784,1.6932546462107838,0.9046776801951855,-0.2750459976997398,-0.03714875066830665,-1.2150448305601909,-1.5635098514258545,-0.9214178199579715,-0.9067137178743873
1742,2024-04-11 21:15:00,70219.6,3504.2,172.6068,611.59,0.61019,99.08,0.58511,17.484,0.194854,3.5036,0.8767,9.0747,117.772,2.981,0.6029,0.5801898847614297,-0.6219427048963084,0.2251700218550763,-0.5988899306166526,-0.5951064913194851,2.1734838845722106,0.09349233102136802,0.9117132705279231,0.34684022702054024,-0.6342615349209374,-0.7350682740765716,-1.2460665081573095,-1.7229332029187538,-1.1685444595892434,-1.4554610759259063
1743,2024-04-11 21:30:00,70174.1,3502.52,172.8417,614.06,0.61089,99.09,0.58704,17.521,0.194887,3.5075,0.8793,9.0507,117.811,2.978,0.6034,0.516632934168474,-0.6703740520227611,0.3340814572242497,-0.4653190490445702,-0.4618846977319314,2.165795580480513,0.3844356119520861,1.1860086886949932,0.34829377542906115,-0.5879395349314815,-0.4734457949718883,-1.2594955914940784,-1.6935766292816365,-1.245193992500596,-1.3777474486728014
1744,2024-04-11 21:45:00,70146.5,3500.7,172.5973,612.79,0.61009,98.61,0.5854,17.515,0.194458,3.5019,0.8773,9.0304,117.746,2.976,0.6028,0.47568828099728366,-0.7225108114419584,0.22925214193842255,-0.5239893637309824,-0.599028188582467,1.681636062143707,0.15922497130111926,1.1505365084052708,0.2481852529005279,-0.6419386132671152,-0.6649731171145871,-1.2688157214023077,-1.6907063685133774,-1.2946616823109598,-1.4519930840567048
1745,2024-04-11 22:00:00,70204.9,3508.89,172.8632,611.95,0.60814,98.88,0.58608,17.58,0.195223,3.5003,0.8787,9.1034,118.106,2.98,0.6039,0.5429120919044187,-0.46930878872828197,0.3561630809037994,-0.561558101321887,-0.9473597325103006,1.9450910100861967,0.2747559317568401,1.6395903533826184,0.4123383969377366,-0.6525075818546593,-0.5176860291979917,-1.1768019089670196,-1.582492832582733,-1.1733468995108303,-1.2940781596542943
1746,2024-04-11 22:15:00,70269.2,3511.41,173.0436,611.95,0.60921,98.68,0.5869,17.531,0.195982,3.4872,0.8796,9.1171,118.34,2.983,0.605,0.6170963705753335,-0.3903912008017797,0.4449489384843094,-0.5553599198429011,-0.7434326051708824,1.7398899496355376,0.417431086010088,1.2855589177412583,0.5747622074687246,-0.7838357995807238,-0.41799128275691116,-1.1503086509280975,-1.5080040483831745,-1.0814057090466624,-1.1352530894133155
1747,2024-04-11 22:30:00,70180.8,3505.71,172.5762,611.1,0.60875,98.48,0.585,17.474,0.194817,3.48,0.8783,9.1548,118.409,2.981,0.6036,0.4993577273858807,-0.5627631541260241,0.23946298072262323,-0.5965408318815324,-0.822211753634767,1.5375307626060641,0.14231382532223055,0.8690949185349978,0.31127930543013105,-0.8519066364813581,-0.5471134139271481,-1.0979530689223709,-1.475053322759199,-1.1344113293908822,-1.3293932898522511
1748,2024-04-11 22:45:00,70169.1,3506.83,172.7935,613.62,0.60842,98.33,0.58572,17.485,0.195076,3.4806,0.8786,9.1491,118.586,2.983,0.6032,0.4788550848969059,-0.5267364538039533,0.3449095953200188,-0.44938454861530336,-0.8794985972696386,1.3884224130314167,0.2702645596686173,0.9615370155726628,0.36446487326393384,-0.8376323984770451,-0.5083643121403345,-1.093441194114813,-1.4159175018884964,-1.0695281849512213,-1.3844863897246937
1749,2024-04-11 23:00:00,70062.2,3504.13,172.5774,611.85,0.6084,98.58,0.58718,17.553,0.194473,3.4723,0.8782,9.1815,118.229,2.984,0.6031,0.33808622509332603,-0.6087721369240415,0.2506439553899824,-0.5449823390025961,-0.8805278305174902,1.6323893471255364,0.5151160001800199,1.4721189141918258,0.22523912990361786,-0.9166317953942583,-0.5444935572798956,-1.0472986302896146,-1.4906856272232356,-1.0318177835278297,-1.3912779981214536
1750,2024-04-11 23:15:00,69980.0,3497.08,172.3533,611.38,0.60766,98.22,0.58463,17.472,0.193422,3.441,0.8759,9.1175,117.744,2.967,0.6016,0.22894097396428634,-0.8229239018057594,0.1523020915784637,-0.5678474608189006,-1.0162842114766493,1.2698722156466864,0.11827702502483824,0.8617285524689905,-0.01394763414534191,-1.2340661395323682,-0.789973466771591,-1.1068243910362299,-1.5949259778828022,-1.5329306130174627,-1.5977398891494103
1751,2024-04-11 23:30:00,70075.1,3505.39,172.5147,613.36,0.60889,98.65,0.58549,17.528,0.194073,3.471,0.8786,9.1561,117.989,2.981,0.6023,0.34416965528820626,-0.5690378150475325,0.2304554413410687,-0.4428405100512873,-0.76879595621077,1.6870323536708074,0.2705810586906444,1.2780904148243803,0.1263163264403013,-0.9105311788686695,-0.4832157068437567,-1.0537664265391524,-1.5153398271858909,-1.101831275164597,-1.4855515511613273
1752,2024-04-11 23:45:00,70013.3,3502.1,172.5075,613.61,0.60867,98.78,0.58565,17.557,0.193893,3.4591,0.8783,9.1335,117.622,2.982,0.6043,0.26105430948256936,-0.6678196230292157,0.2315839537349433,-0.4203147076844989,-0.8052831517339077,1.8026506297887137,0.31133353688397475,1.4864358436581557,0.0815905380639085,-1.0254127562006063,-0.5097674452416266,-1.06814399374385,-1.5888270746601085,-1.0651869244536847,-1.1824856381278084
