,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
52,2024-03-20 14:00:00,64212.9,3385.92,175.1059,375.09,0.59598,81.65,0.61135,17.649,0.135097,2.1922,0.9688,11.3005,114.384,3.268,0.643,,,,,,,,,,,,,,,
53,2024-03-20 14:00:00,64212.9,3385.92,175.1059,375.09,0.59598,81.65,0.61135,17.649,0.135097,2.1922,0.9688,11.3005,114.384,3.268,0.643,,,,,,,,,,,,,,,
54,2024-03-20 15:00:00,63599.4,3292.82,170.6933,373.37,0.58648,80.72,0.59966,17.328,0.132511,2.1091,0.9477,11.031,112.144,3.204,0.6313,,,,,,,,,,,,,,,
55,2024-03-20 15:00:00,63599.4,3292.82,170.6933,373.37,0.58648,80.72,0.59966,17.328,0.132511,2.1091,0.9477,11.031,112.144,3.204,0.6313,,,,,,,,,,,,,,,
56,2024-03-20 16:00:00,63113.9,3241.39,168.192,372.55,0.57835,80.35,0.59014,17.026,0.129824,2.1263,0.9349,10.9372,110.103,3.163,0.6196,,,,,,,,,,,,,,,
57,2024-03-20 16:00:00,63113.9,3241.39,168.192,372.55,0.57835,80.35,0.59014,17.026,0.129824,2.1263,0.9349,10.9372,110.103,3.163,0.6196,,,,,,,,,,,,,,,
58,2024-03-20 17:00:00,64127.6,3300.19,172.359,377.64,0.58492,81.14,0.60045,17.262,0.133346,2.2225,0.946,11.0903,112.106,3.203,0.6312,,,,,,,,,,,,,,,
59,2024-03-20 17:00:00,64127.6,3300.19,172.359,377.64,0.58492,81.14,0.60045,17.262,0.133346,2.2225,0.946,11.0903,112.106,3.203,0.6312,,,,,,,,,,,,,,,
60,2024-03-20 18:00:00,65406.2,3397.44,184.0132,386.43,0.6021,83.15,0.62386,17.999,0.140409,2.531,0.9854,11.4159,116.799,3.321,0.6525,,,,,,,,,,,,,,,
61,2024-03-20 18:00:00,65406.2,3397.44,184.0132,386.43,0.6021,83.15,0.62386,17.999,0.140409,2.531,0.9854,11.4159,116.799,3.321,0.6525,,,,,,,,,,,,,,,
62,2024-03-20 19:00:00,65791.5,3378.72,182.7523,405.63,0.60629,83.86,0.63217,18.055,0.146011,2.58,0.9881,11.5437,117.258,3.325,0.6624,,,,,,,,,,,,,,,
63,2024-03-20 19:00:00,65791.5,3378.72,182.7523,405.63,0.60629,83.86,0.63217,18.055,0.146011,2.58,0.9881,11.5437,117.258,3.325,0.6624,,,,,,,,,,,,,,,
